Wavelength,2-4-6-trimethylphenol,2-4-dimethylbenzaldehyde,4-Ethoxybenzaldehyde,4-ethylphenol,4-nitrobenzaldehyde,9-Flourenone,Benzil,Benzoin,Succinic_Acid
399.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
401.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
401.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
402.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
402.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
403.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
403.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
404.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
404.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
405.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
405.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
405.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
406.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
406.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
407.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
407.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
408.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
408.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
409.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
409.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
410.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
410.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
411.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
411.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
412.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
413.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
413.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
414.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
414.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
415.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
415.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
416.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
417.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
417.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
418.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
418.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
418.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
419.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
419.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
420.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
420.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
421.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
421.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
422.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
422.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
423.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
423.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
424.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
424.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
425.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
425.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
426.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
426.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
427.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
427.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
428.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
428.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
429.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
429.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
430.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
430.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
431.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
431.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
431.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
432.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
432.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
433.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
433.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
434.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
434.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
435.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
435.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
436.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
436.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
437.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
437.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
438.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
438.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
439.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
439.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
440.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
440.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
441.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
441.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
442.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
442.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
443.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
443.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
444.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
444.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
445.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
445.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
445.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
446.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
446.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
447.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
447.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
448.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
448.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
449.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
449.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
450.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
450.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
451.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
451.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
452.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
452.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
453.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
453.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
454.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
454.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
455.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
455.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
456.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
456.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
457.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
457.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
458.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
458.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
458.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
459.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
459.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
460.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
460.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
461.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
461.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
462.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
462.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
463.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
463.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
464.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
464.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
465.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
465.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
466.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
